Dept,Department,Owner,Program,Goal,KPI_CODE,Performance Measure,Description,Technical Description,Performance Pattern,Unit of Measure,FY 2011   Total Actual Data,FY 2012   Total Actual Data,FY 2013   June Actual Data,FY 2013   Total Actual Data,FY 2013   Total Target Data,FY 2013   Total Projected Data,FY 2014   Total Target Data,FY 2015   Total Target Data,FY 2013   Yr End Actual Explanation,FY 2013   Yr End Dept Comment,Major Service Area,Annual Performance Measure Report,City Survey Report,CAFR Report,Government Barometer Report,Mayor's Budget Book,Performance Appraisal Report
AAM,ASIAN ART MUSEUM,"Trujillo, Adrian",ASIAN ART MUSEUM,Increase museum membership,AAM.EEI.01.1.1,Number of museum members,"Total number of AAM members: includes general membership up to levels of $3,000 and above, as of the last day of the period.  ","Collection Method: Records are developed and maintained in our database: Raiser's Edge. This database houses individual membership records including a member's history, gift date history, gift date, membership expiration, and membership category.  The Information Systems staff ( Manager, Associate, and Assistant) enter gifts daily into Raiser's Edge as well provide reports and maintain the database as a whole. The Membership Manager has access to Raiser's Edge to extract reports and add or update biographical information in individual records.  Membership data calculation process concludes 1 week after closing of each month. ",Above target is positive,General,14755,13725,17066,17066,16000,14667,14995,15300,2013 Exceeded all attendance and membership goals.,,E Culture & Recreation,Yes,No,No,No,Yes,No
AAM,ASIAN ART MUSEUM,"Trujillo, Adrian",ASIAN ART MUSEUM,Increase number of museum visitors,KPI110520516028371,City cost per visitor,The goal is to determine the cost per visitor based on the funding provided by the City.,"The City cost per visitor is calculated by dividing the Revenue (General Funds, Hotel Room Tax, Facility/Maintenance funds) by the total number of visitors to the Museum.",Above target is positive,Currency,0,34.15,20.73,20.73,28.48,22.77,32.86,29.48, ,,,No,No,No,No,No,No
AAM,ASIAN ART MUSEUM,"Trujillo, Adrian",ASIAN ART MUSEUM,Increase number of museum visitors,AAM.EEI.02.2.2,Number of museum visitors,Number of every museum visitor entering the front door.,"Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly",Above target is positive,General,165286,191404,318914,318914,205000,246991,220000,225050,"FY13 Annual attendance was the third best since our move to Civic Center in 2003 due to record attendance achieved by the China's Terracotta Warriors exhibition (Feb 22, 2013 - May 27, 2013). ",,E Culture & Recreation,Yes,No,Yes,Yes,Yes,No
AAM,ASIAN ART MUSEUM,"Trujillo, Adrian",ASIAN ART MUSEUM,Provide quality programs on Asian art and culture,AAM.EEI.03.3.3,Number of education program participants,"Number of education program participants are organized into four categories: on-site school programs (school tours of children, teachers, and chaperones); off-site school programs (docent travels to school to teach a class/workshop); on-site educator program (teacher workshops and resource fairs); off-site educator programs (we do outreach to teachers regarding our programs. ",Collection Method: all on-site participants are ticketing through our front door ticketing system: Vista. Off-site participant counts are maintained in Filemaker Database managed by AAM Education Department. Timing: Quarterly - one month after close of quarter,Above target is positive,General,33884,26956,37557,37557,26000,27380,30000,31000,"Through more flexible scheduling and better accommodating teacher needs, we were able to steadily increase our school tour numbers in the Fall and thanks to the widespread popular appeal of the Terracotta Warriors exhibition and our hosting of the SFUSD Arts Festival we enjoyed a significant lift in attendance in the Spring and we exceeded our target for the year. ",,E Culture & Recreation,Yes,No,No,No,Yes,No
AAM,ASIAN ART MUSEUM,"Trujillo, Adrian",ASIAN ART MUSEUM,Provide quality programs on Asian art and culture,AAM.EEI.03.4.4,Number of public program participants,"Number of attendees at programs offered to the public including: family programs, adult programs (performance, lectures, classes, tea ceremony), Asia Alive, public tours.",Collection Method: Head Count taken by public program staff & registration data maintained by AAM Public Program Dept. Timing:  Quarterly - one month after close of quarter,Above target is positive,General,59323,52737,53569,53569,50000,55000,40000,41250,"Total attendance for the Phantoms of Asia exhibition, which closed in September, was 5% lower than expected and our attendance in programs was down about 12% from our projection. However, we finished the year strongly with the Terracotta Warriors exhibition with robust attendance on tours and at programs. Our actual was only slightly below target as a result of the popular spring exhibition. ",,E Culture & Recreation,Yes,No,No,No,Yes,No
AAM,ASIAN ART MUSEUM,"Trujillo, Adrian",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,AAM.XXX.01.5.5,# of employees for whom performance appraisals were scheduled,"New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.","Collection Method: [HR department manages a web-based Performance Management system for personnel.] Timing:Annually for full-time employees, (starting off with a 6 month review for new hires.)",Above target is positive,General,52,52,57,57,51,57,51,58,"Our Performance Appraisals are scheduled to be completed in July, therefore our ""Fiscal Year End Actuals"" follow closely to what the earlier ""six month Actuals"" were.",,E Culture & Recreation,Yes,No,No,No,No,Yes
AAM,ASIAN ART MUSEUM,"Trujillo, Adrian",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,AAM.XXX.01.6.6,# of employees for whom scheduled performance appraisals were completed,"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted and completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review shold be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.","Collection Method:  [HR department manages a web-based Performance Management system for personnel.] Timing: Annually for full-time employees, (starting off with a 6 month review for new hires.)",Above target is positive,General,50,51,53,53,51,56,51,57,Existing supervisor resigned leaving some reviews overdue. Alternate supervisor will give the review.,,E Culture & Recreation,Yes,No,No,No,No,Yes
ADM,ADMINISTRATIVE SERVICES,pmadmin,311 CUSTOMER SERVICE CENTER,CSR Productivity,KPI12145751300332,Percentage of Customer Service Representatives that answer 17 calls per hour,"The percentage of Customer Service Representatives that answer 17 calls per hour, which is equivalent to 3000 calls per month. This metric was changed in July 2009 from ""calls per month"" to ""calls per hour"" in order to take into account planned and unplanned absences. ","Calculation: Total number of calls answered divided by the total number of hours staffed by on line Customer Service Reps. Data Source: Avaya's Call Management System (CMS) and Blue Pumpkin to determine the number of calls answered and the number of staffed hours, respectively.   ",Above target is positive,Percent,0,0,0,0,0,0,0,0,,,,No,No,No,No,No,No
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",311 CUSTOMER SERVICE CENTER,One Call Resolution,KPI323673271720926,Percentage of calls handled without a transfer,Provide requested information or handle intake of service requests to callers without phone transfer to other city agencies.  This metric was developed in July 2008 as a performance measure for 311.,Calculation: Total number of calls not transferred out of the 311 center divided by the total number of calls answered.  Source: Avaya's Call Management System (CMS) will be utilized to determine the number of calls answered and calls transferred.  Frequency: Monthly,Above target is positive,Percent,0.97,0.965,0.957,0.9535,0.95,0.955,0.95,0.95,Target met. No change from previous 6 months,,F General Administration & Finance,Yes,No,No,No,Yes,No
ADM,ADMINISTRATIVE SERVICES,pmadmin,311 CUSTOMER SERVICE CENTER,Public Self Service,KPI12145951325987,Percentage of Automated 311 Service Requests ,The number of automated service requests received by 311 via the internet and smart phone app. ,Calculation: Sum of the total number of automated requests received by 311 divided by the total number of requests received by 311 during the reporting period. Data Source: 311 Data Systems. ,Above target is positive,Percent,0,0,0,0,0,0,0.3,0.35,,,,No,No,No,No,No,No
