Dept,Department,Owner,Program,Goal,KPI_CODE,Performance.Measure,Description,Technical.Description,Performance.Pattern,Unit.of.Measure,FY.2012...Total.Actual.Data,FY.2013...Total.Actual.Data,FY.2014...June.Actual.Data,FY.2014...Total.Actual.Data,FY.2014...Total.Target.Data,FY.2014...Total.Projected.Data,FY.2015...Total.Target.Data,FY.2016...Total.Target.Data,FY.2014...Yr.End.Actual.Explanation,FY.2014...Yr.End.Dept.Comment,Major.Service.Area,Annual.Performance.Measure.Report,City.Survey.Report,CAFR.Report,Government.Barometer.Report,Mayor.s.Budget.Book,Performance.Appraisal.Report,met.goal,goal.percent
AAM,ASIAN ART MUSEUM,"Trujillo, Adrian",ASIAN ART MUSEUM,Increase museum membership,AAM.EEI.01.1.1,Number of museum members,"Total number of AAM members: includes general membership up to levels of $3,000 and above, as of the last day of the period.  ","Collection Method: Records are developed and maintained in our database: Raiser's Edge. This database houses individual membership records including a member's history, gift date history, gift date, membership expiration, and membership category.  The Information Systems staff ( Manager, Associate, and Assistant) enter gifts daily into Raiser's Edge as well provide reports and maintain the database as a whole. The Membership Manager has access to Raiser's Edge to extract reports and add or update biographical information in individual records.  Membership data calculation process concludes 1 week after closing of each month. ",Above target is positive,General,13725,17066,12888,12888,14995,15000,15300,17000,"Our FY 14 Yr End Actual number of 12,888 member households - falling short of our projected 15,000 - was due to two key staff vacancies in Quarters 3 and 4 and lower-than-projected renewal rates for first-time members. Recapturing lapsed Terracotta Warriors members with a new Family level is a priority for FY15. Also, our new Membership manager has now been hired and is implementing ambitious plans to increase retention rates and visitor-to-member conversation rates.    ","FY 14 Projected #. We had a dramatic increase in membership in FY13 due to our very popular exhibition: ""Terracotta Warriors"". In FY14, we are aiming to maintain as much of this growth as possible, but do anticipate some atrophy.",E Culture & Recreation,Yes,No,No,No,Yes,No,FALSE,-14.05
AAM,ASIAN ART MUSEUM,"Trujillo, Adrian",ASIAN ART MUSEUM,Increase number of museum visitors,KPI110520516028371,City cost per visitor,The goal is to determine the cost per visitor based on the funding provided by the City.,"The City cost per visitor is calculated by dividing the Revenue (General Funds, Hotel Room Tax, Facility/Maintenance funds) by the total number of visitors to the Museum.",Above target is positive,Currency,34.15,20.73,26.31,26.31,32.86,28.71,29.48,25.1,For FY 14 we experienced a slight dip in attendance numbers and a reduction in City funding which affected our cost per visitor calculation. ,,,No,No,No,No,No,No,FALSE,-19.93
AAM,ASIAN ART MUSEUM,"Trujillo, Adrian",ASIAN ART MUSEUM,Increase number of museum visitors,AAM.EEI.02.2.2,Number of museum visitors,Number of every museum visitor entering the front door.,"Collection Method: At the admission desk of AAM, all visitors (both paid and non-paid) are ticketed.  The visitor data is collected from the computerized ticketing system. Timing:  Daily/Weekly/ Monthly",Above target is positive,General,191404,318914,284135,284135,220000,3e+05,225050,362600,"FY14 Yr End Actual Annual Attendance reflects all visitors entering the museum through the front doors. Prior to Yr End FY14 our number had excluded school groups, and other specialized groups, etc. Our previously recorded FY14 Target of 220,000 reflected our previous counting method. Our FY14 attendance started modestly in July but experienced a significant bump in September thanks to our small but critically acclaimed Cyrus Cylinder exhibition. Later in the Spring our special exhibition Yoga: The Art of Transformation brought in large crowds during its final month thanks in part to a successful public programming schedule. ","As of FY14 Yr End, our Actual Number of Museum Visitors reflects all visitors entering the museum through the front doors. Prior to Yr End FY14 our number had excluded school groups, and other specialized groups, etc. Our previously recorded attendance numbers up until midyear FY14 (including FY14 Target) reflected our previous counting method.",E Culture & Recreation,Yes,No,Yes,Yes,Yes,No,TRUE,29.15
AAM,ASIAN ART MUSEUM,"Trujillo, Adrian",ASIAN ART MUSEUM,Provide quality programs on Asian art and culture,AAM.EEI.03.3.3,Number of education program participants,"Number of education program participants are organized into four categories: on-site school programs (school tours of children, teachers, and chaperones); off-site school programs (docent travels to school to teach a class/workshop); on-site educator program (teacher workshops and resource fairs); off-site educator programs (we do outreach to teachers regarding our programs. ",Collection Method: all on-site participants are ticketing through our front door ticketing system: Vista. Off-site participant counts are maintained in Filemaker Database managed by AAM Education Department. Timing: Quarterly - one month after close of quarter,Above target is positive,General,26956,37557,32918,32918,30000,30390,31000,31000,"In FY 14 school programs numbers exceeded expectations because the museum hosted the SFUSD Arts Festival for a second year. This program provided free admission to the museum and special exhibitions for over 6,000 San Francisco students, teachers, and families over a 10-day period. ","For ongoing school programs, the average rating for overall satisfaction was 9.1 out of a 10 point scale. Approximately, 35% of teachers completed an evaluation. ",E Culture & Recreation,Yes,No,No,No,Yes,No,TRUE,9.73
AAM,ASIAN ART MUSEUM,"Trujillo, Adrian",ASIAN ART MUSEUM,Provide quality programs on Asian art and culture,AAM.EEI.03.4.4,Number of public program participants,"Number of attendees at programs offered to the public including: family programs, adult programs (performance, lectures, classes, tea ceremony), Asia Alive, public tours.",Collection Method: Head Count taken by public program staff & registration data maintained by AAM Public Program Dept. Timing:  Quarterly - one month after close of quarter,Above target is positive,General,52737,53569,52589,52589,40000,54044,41250,40000,"The public programs division of the AAM education department works to engage our general visitors, (ranging in ages from 3 years to 103), with the goal of using art and ideas to connect people, places, and times. The AAM's public programs are created in association with the special exhibitions with the purpose of deepening an understanding of Asian art and culture and to enhance the museum experience through meaningful engagement in programs such as cultural celebrations, performances, gallery talks, lecture demonstrations, artist engagements, evening mixer programs, art making, docent tours for adults and children, and storytelling. In FY 14 our public programs were able to showcase the cultural diversity of our special exhibitions. Japanese, Persian, Korean, Indian, and Contemporary Art were all celebrated.",,E Culture & Recreation,Yes,No,No,No,Yes,No,TRUE,31.47
AAM,ASIAN ART MUSEUM,"Trujillo, Adrian",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,AAM.XXX.01.5.5,# of employees for whom performance appraisals were scheduled,"New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.","Collection Method: [HR department manages a web-based Performance Management system for personnel.] Timing:Annually for full-time employees, (starting off with a 6 month review for new hires.)",Above target is positive,General,52,57,54,54,51,50,58,55,We always strive for 100% completion of written reviews. However headcount fluctuates depending on number of open positions and new employees must work through their six month probation period before having a first review. In FY 14 we had one employee out on family leave. ,,E Culture & Recreation,Yes,No,No,No,No,Yes,TRUE,5.88
AAM,ASIAN ART MUSEUM,"Trujillo, Adrian",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,AAM.XXX.01.6.6,# of employees for whom scheduled performance appraisals were completed,"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted and completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review shold be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.","Collection Method:  [HR department manages a web-based Performance Management system for personnel.] Timing: Annually for full-time employees, (starting off with a 6 month review for new hires.)",Above target is positive,General,51,53,54,54,51,50,57,55,We always strive for 100% completion of written reviews. However headcount fluctuates depending on number of open positions and new employees must work through their six month probation period before having a first review. In FY 14 we had one employee out on family leave.,,E Culture & Recreation,Yes,No,No,No,No,Yes,TRUE,5.88
ADM,ADMINISTRATIVE SERVICES,pmadmin,311 CUSTOMER SERVICE CENTER,CSR Productivity,KPI12145751300332,Percentage of Customer Service Representatives that answer 17 calls per hour,"The percentage of Customer Service Representatives that answer 17 calls per hour, which is equivalent to 3000 calls per month. This metric was changed in July 2009 from ""calls per month"" to ""calls per hour"" in order to take into account planned and unplanned absences. ","Calculation: Total number of calls answered divided by the total number of hours staffed by on line Customer Service Reps. Data Source: Avaya's Call Management System (CMS) and Blue Pumpkin to determine the number of calls answered and the number of staffed hours, respectively.   ",Above target is positive,Percent,0,0,0,0,0,0,0,0, ,,,No,No,No,No,No,No,FALSE,NaN
ADM,ADMINISTRATIVE SERVICES,"Nguyen, Adam",311 CUSTOMER SERVICE CENTER,One Call Resolution,KPI323673271720926,Percentage of calls handled without a transfer,Provide requested information or handle intake of service requests to callers without phone transfer to other city agencies.  This metric was developed in July 2008 as a performance measure for 311.,Calculation: Total number of calls not transferred out of the 311 center divided by the total number of calls answered.  Source: Avaya's Call Management System (CMS) will be utilized to determine the number of calls answered and calls transferred.  Frequency: Monthly,Above target is positive,Percent,0.965,0.9535,0.9395,0.94125,0.95,0.95,0.95,0.95,Slight decrease due to a reduction in the total number of calls answered as customers migrate to on line channels while the calls requiring a transfer has remained consistent. ,,F General Administration & Finance,Yes,No,No,No,Yes,No,FALSE,-0.92
ADM,ADMINISTRATIVE SERVICES,pmadmin,311 CUSTOMER SERVICE CENTER,Public Self Service,KPI12145951325987,Percentage of Automated 311 Service Requests ,The number of automated service requests received by 311 via the internet and smart phone app. ,Calculation: Sum of the total number of automated requests received by 311 divided by the total number of requests received by 311 during the reporting period. Data Source: 311 Data Systems. ,Above target is positive,Percent,0,0,0.3524,0.3217,0.3,0.31,0.35,0.35,"On target. Continued improvements made to on line presence and functionality, including 311 smartphone app.",,,No,No,No,No,No,No,TRUE,7.23
