Fiscal.Year,Program,Department,Amount,prev.year.amount,percent.change
2017,Academy Of Sciences,Academy of Sciences,5408021,5235094,0.033032262648961
2016,Academy Of Sciences,Academy of Sciences,5235094,4547630,0.151169730167142
2015,Academy Of Sciences,Academy of Sciences,4547630,4432695,0.0259289213446899
2014,Academy Of Sciences,Academy of Sciences,4432695,5234851,-0.153233778764668
2013,Academy Of Sciences,Academy of Sciences,5234851,5231060,0.000724709714665861
2012,Academy Of Sciences,Academy of Sciences,5231060,5446220,-0.0395062997822343
2011,Academy Of Sciences,Academy of Sciences,5446220,5496225,-0.00909806276125886
2010,Academy Of Sciences,Academy of Sciences,5496225,NA,NA
2017,General Fund,Academy of Sciences,5408021,5235094,0.033032262648961
2016,General Fund,Academy of Sciences,5235094,4547630,0.151169730167142
2015,General Fund,Academy of Sciences,4547630,4432695,0.0259289213446899
2014,General Fund,Academy of Sciences,4432695,2818851,0.57251837716857
2013,General Fund,Academy of Sciences,2818851,2815060,0.00134668532819904
2012,General Fund,Academy of Sciences,2815060,3030220,-0.0710047455300275
2011,General Fund,Academy of Sciences,3030220,3080225,-0.0162342036701864
2010,General Fund,Academy of Sciences,3080225,NA,NA
2017,Administration - Adult Probation,Adult Probation,5375767,5247043,0.0245326748799276
2016,Administration - Adult Probation,Adult Probation,5247043,4811787,0.0904562068104843
2015,Administration - Adult Probation,Adult Probation,4811787,4253046,0.131374313844713
2014,Administration - Adult Probation,Adult Probation,4253046,4263091,-0.00235627154100159
2013,Administration - Adult Probation,Adult Probation,4263091,2944879,0.447628578287936
2012,Administration - Adult Probation,Adult Probation,2944879,1702670,0.729565329746809
2011,Administration - Adult Probation,Adult Probation,1702670,1997491,-0.147595658753907
2010,Administration - Adult Probation,Adult Probation,1997491,NA,NA
2017,Community Services,Adult Probation,16612299,16291877,0.0196675926291366
2016,Community Services,Adult Probation,16291877,15434581,0.0555438466389207
2015,Community Services,Adult Probation,15434581,10346841,0.491719163365901
2014,Community Services,Adult Probation,10346841,11482308,-0.0988883942148216
2013,Community Services,Adult Probation,11482308,9121208,0.258858256494096
2012,Community Services,Adult Probation,9121208,8610617,0.0592978412580655
2011,Community Services,Adult Probation,8610617,7223467,0.19203382530854
2010,Community Services,Adult Probation,7223467,NA,NA
2017,General Fund,Adult Probation,17549597,17655958,-0.00602408546735329
2016,General Fund,Adult Probation,17655958,16832715,0.0489073212491271
2015,General Fund,Adult Probation,16832715,14728247,0.142886522747751
2014,General Fund,Adult Probation,14728247,13744390,0.0715824419999724
2013,General Fund,Adult Probation,13744390,13028568,0.0549424925287261
2012,General Fund,Adult Probation,13028568,10780831,0.208493853581417
2011,General Fund,Adult Probation,10780831,11950488,-0.0978752499479519
2010,General Fund,Adult Probation,11950488,NA,NA
2017,One Stop Re Entry Services,Adult Probation,1655616,1600820,0.0342299571469622
2016,One Stop Re Entry Services,Adult Probation,1600820,1616507,-0.00970425738954424
2015,One Stop Re Entry Services,Adult Probation,1616507,1450611,0.114362844346279
2014,One Stop Re Entry Services,Adult Probation,1450611,1415630,0.0247105528987094
2013,One Stop Re Entry Services,Adult Probation,1415630,NA,NA
2017,Pre - Sentencing Investigation,Adult Probation,3574885,3368128,0.0613863249852737
2016,Pre - Sentencing Investigation,Adult Probation,3368128,3171300,0.0620653990477091
2015,Pre - Sentencing Investigation,Adult Probation,3171300,2954571,0.0733537965410207
2014,Pre - Sentencing Investigation,Adult Probation,2954571,2939817,0.00501867973414672
2013,Pre - Sentencing Investigation,Adult Probation,2939817,2885695,0.0187552738595035
2012,Pre - Sentencing Investigation,Adult Probation,2885695,2862700,0.00803262654137702
2011,Pre - Sentencing Investigation,Adult Probation,2862700,3784914,-0.243655205904282
2010,Pre - Sentencing Investigation,Adult Probation,3784914,NA,NA
2017,Realignment Services-Post Release Comm.,Adult Probation,22975154,21825666,0.052666800637378
2016,Realignment Services-Post Release Comm.,Adult Probation,21825666,19445594,0.122396466778027
2015,Realignment Services-Post Release Comm.,Adult Probation,19445594,19243796,0.0104863926015429
2014,Realignment Services-Post Release Comm.,Adult Probation,19243796,14661162,0.31256963124751
2013,Realignment Services-Post Release Comm.,Adult Probation,14661162,NA,NA
2017,Work Orders & Grants,Adult Probation,438570,1102570,-0.602229336912849
2016,Work Orders & Grants,Adult Probation,1102570,200000,4.51285
2015,Work Orders & Grants,Adult Probation,200000,NA,NA
2013,Work Orders & Grants,Adult Probation,1200000,1062512,0.129399009140603
2012,Work Orders & Grants,Adult Probation,1062512,472532,1.24855036272676
2011,Work Orders & Grants,Adult Probation,472532,NA,NA
2017,Administration,Airport Commission,28805898,27585835,0.0442278799971072
2016,Administration,Airport Commission,27585835,27123608,0.0170415012634012
2015,Administration,Airport Commission,27123608,44260048,-0.387176263342507
2014,Administration,Airport Commission,44260048,41973587,0.0544738051575149
2013,Administration,Airport Commission,41973587,36874762,0.138274112792918
2012,Administration,Airport Commission,36874762,37134965,-0.00700695422763964
2011,Administration,Airport Commission,37134965,34140797,0.0877005888292532
2010,Administration,Airport Commission,34140797,NA,NA
2017,"Administration, Business",Airport Commission,-79218032,-76459072,0.0360841418530426
2016,"Administration, Business",Airport Commission,-76459072,-72107406,0.0603497787730708
2015,"Administration, Business",Airport Commission,-72107406,-71130895,0.0137283665557702
2014,"Administration, Business",Airport Commission,-71130895,-68630386,0.0364344300788284
2013,"Administration, Business",Airport Commission,-68630386,-65579731,0.0465182603448007
2012,"Administration, Business",Airport Commission,-65579731,-59683070,0.0987995590709392
2011,"Administration, Business",Airport Commission,-59683070,-56647991,0.0535778753389507
2010,"Administration, Business",Airport Commission,-56647991,NA,NA
2017,Airport Director,Airport Commission,9028948,8974493,0.00606775223959727
2016,Airport Director,Airport Commission,8974493,8217210,0.0921581656060877
2015,Airport Director,Airport Commission,8217210,9902222,-0.170165039725427
2014,Airport Director,Airport Commission,9902222,8783873,0.1273184391441
2013,Airport Director,Airport Commission,8783873,16569536,-0.469878154705117
2012,Airport Director,Airport Commission,16569536,10979545,0.509127746186203
2011,Airport Director,Airport Commission,10979545,11607150,-0.0540705513411992
2010,Airport Director,Airport Commission,11607150,NA,NA
2017,Bureau Of Design And Construction,Airport Commission,5920163,5854157,0.0112750648812459
2016,Bureau Of Design And Construction,Airport Commission,5854157,5715204,0.0243128679221249
2015,Bureau Of Design And Construction,Airport Commission,5715204,5862276,-0.025087866896748
2014,Bureau Of Design And Construction,Airport Commission,5862276,6731968,-0.129188374038617
2013,Bureau Of Design And Construction,Airport Commission,6731968,5621140,0.19761614192139
2012,Bureau Of Design And Construction,Airport Commission,5621140,2856659,0.967732235454074
2011,Bureau Of Design And Construction,Airport Commission,2856659,2833439,0.00819498849278209
2010,Bureau Of Design And Construction,Airport Commission,2833439,NA,NA
2017,Business & Finance,Airport Commission,459395488,458695817,0.00152534855141267
2016,Business & Finance,Airport Commission,458695817,449711094,0.0199788778170547
2015,Business & Finance,Airport Commission,449711094,393741183,0.142148988768594
2014,Business & Finance,Airport Commission,393741183,378480618,0.0403205983985156
2013,Business & Finance,Airport Commission,378480618,368170832,0.028002723474846
2012,Business & Finance,Airport Commission,368170832,355787393,0.034805727363139
2011,Business & Finance,Airport Commission,355787393,358382031,-0.00723986633135633
2010,Business & Finance,Airport Commission,358382031,NA,NA
2017,Capital Projects And Grants,Airport Commission,107479000,107479000,0
2016,Capital Projects And Grants,Airport Commission,107479000,216429112,-0.503398600092209
2015,Capital Projects And Grants,Airport Commission,216429112,229970982,-0.0588851249067589
2014,Capital Projects And Grants,Airport Commission,229970982,213181730,0.0787555856686218
2013,Capital Projects And Grants,Airport Commission,213181730,160971938,0.324340954384236
2012,Capital Projects And Grants,Airport Commission,160971938,206713677,-0.221280660592187
2011,Capital Projects And Grants,Airport Commission,206713677,200387598,0.031569214178614
2010,Capital Projects And Grants,Airport Commission,200387598,NA,NA
2017,Chief Operating Officer,Airport Commission,30962811,30526792,0.0142831582172146
2016,Chief Operating Officer,Airport Commission,30526792,27482549,0.110770038106727
2015,Chief Operating Officer,Airport Commission,27482549,5197948,4.28719198422147
2014,Chief Operating Officer,Airport Commission,5197948,4806312,0.0814836822911205
2013,Chief Operating Officer,Airport Commission,4806312,4595869,0.0457895993119038
2012,Chief Operating Officer,Airport Commission,4595869,4013545,0.145089690037112
2011,Chief Operating Officer,Airport Commission,4013545,3705432,0.0831517080869383
2010,Chief Operating Officer,Airport Commission,3705432,NA,NA
2017,Communications & Marketing,Airport Commission,9273097,9154710,0.0129318132414899
2016,Communications & Marketing,Airport Commission,9154710,8825981,0.0372456047662011
2015,Communications & Marketing,Airport Commission,8825981,7313620,0.20678692631009
2014,Communications & Marketing,Airport Commission,7313620,6488281,0.127204570825462
2013,Communications & Marketing,Airport Commission,6488281,5862433,0.106755676354851
2012,Communications & Marketing,Airport Commission,5862433,5867878,-0.000927933402841709
2011,Communications & Marketing,Airport Commission,5867878,7191612,-0.184066381779217
2010,Communications & Marketing,Airport Commission,7191612,NA,NA
2016,"Continuing Projects, Maint And Renewal",Airport Commission,12084000,11403000,0.0597211260194686
2015,"Continuing Projects, Maint And Renewal",Airport Commission,11403000,9310000,0.224812030075188
2014,"Continuing Projects, Maint And Renewal",Airport Commission,9310000,10500000,-0.113333333333333
2013,"Continuing Projects, Maint And Renewal",Airport Commission,10500000,7075000,0.484098939929329
2012,"Continuing Projects, Maint And Renewal",Airport Commission,7075000,6000000,0.179166666666667
2011,"Continuing Projects, Maint And Renewal",Airport Commission,6000000,4000000,0.5
2010,"Continuing Projects, Maint And Renewal",Airport Commission,4000000,NA,NA
2017,Departmental Fund Transfer,Airport Commission,0,0,NaN
2016,Departmental Fund Transfer,Airport Commission,0,0,NaN
2015,Departmental Fund Transfer,Airport Commission,0,0,NaN
2014,Departmental Fund Transfer,Airport Commission,0,0,NaN
2013,Departmental Fund Transfer,Airport Commission,0,0,NaN
2012,Departmental Fund Transfer,Airport Commission,0,0,NaN
2011,Departmental Fund Transfer,Airport Commission,0,0,NaN
2010,Departmental Fund Transfer,Airport Commission,0,NA,NA
2017,Facilities,Airport Commission,181510219,178258624,0.0182408846598075
2016,Facilities,Airport Commission,178258624,172788990,0.0316549914436099
2015,Facilities,Airport Commission,172788990,161995783,0.0666264689124655
2014,Facilities,Airport Commission,161995783,154682430,0.0472797912471378
2013,Facilities,Airport Commission,154682430,148844080,0.0392246033567475
2012,Facilities,Airport Commission,148844080,138474553,0.0748839896959263
2011,Facilities,Airport Commission,138474553,131518254,0.0528922699962242
2010,Facilities,Airport Commission,131518254,NA,NA
2017,Fire Airport Bureau Non-Personnel Cost,Airport Commission,651474,675981,-0.0362539775526235
2016,Fire Airport Bureau Non-Personnel Cost,Airport Commission,675981,904146,-0.25235415519175
2015,Fire Airport Bureau Non-Personnel Cost,Airport Commission,904146,872574,0.0361826045699276
2014,Fire Airport Bureau Non-Personnel Cost,Airport Commission,872574,668947,0.30439930218687
2013,Fire Airport Bureau Non-Personnel Cost,Airport Commission,668947,811248,-0.17540998560243
2012,Fire Airport Bureau Non-Personnel Cost,Airport Commission,811248,849417,-0.0449355263669081
2011,Fire Airport Bureau Non-Personnel Cost,Airport Commission,849417,1009991,-0.158985575118986
2010,Fire Airport Bureau Non-Personnel Cost,Airport Commission,1009991,NA,NA
2017,No Program Defined,Airport Commission,911453932,912658188,-0.00131950385788902
2016,No Program Defined,Airport Commission,912658188,888546479,0.0271361257625331
2015,No Program Defined,Airport Commission,888546479,776798173,0.143857580880278
2014,No Program Defined,Airport Commission,776798173,777895559,-0.00141071122890933
2013,No Program Defined,Airport Commission,777895559,700212918,0.110941456524228
2012,No Program Defined,Airport Commission,700212918,668912034,0.0467937223566231
2011,No Program Defined,Airport Commission,668912034,672464846,-0.00528326799703073
2010,No Program Defined,Airport Commission,672464846,NA,NA
2017,Operations And Security,Airport Commission,68972868,68401111,0.00835888469706289
2016,Operations And Security,Airport Commission,68401111,66503693,0.028531017066977
2015,Operations And Security,Airport Commission,66503693,63690607,0.0441679885387181
2014,Operations And Security,Airport Commission,63690607,59421756,0.0718398661931162
2013,Operations And Security,Airport Commission,59421756,55098535,0.0784634473493715
2012,Operations And Security,Airport Commission,55098535,51535730,0.0691327162727684
2011,Operations And Security,Airport Commission,51535730,48868662,0.0545762435648433
2010,Operations And Security,Airport Commission,48868662,NA,NA
2017,Planning Division,Airport Commission,4211394,4182008,0.00702676800235676
2016,Planning Division,Airport Commission,4182008,4588531,-0.0885954568030596
2015,Planning Division,Airport Commission,4588531,3858567,0.189180076437703
2014,Planning Division,Airport Commission,3858567,3547012,0.0878359024440853
2013,Planning Division,Airport Commission,3547012,4019107,-0.11746266023771
2012,Planning Division,Airport Commission,4019107,3888957,0.0334665567143067
2011,Planning Division,Airport Commission,3888957,2850732,0.364195932834093
2010,Planning Division,Airport Commission,2850732,NA,NA
2017,Police Airport Bureau Non-Personnel Cost,Airport Commission,3075914,3291662,-0.0655437891253719
2016,Police Airport Bureau Non-Personnel Cost,Airport Commission,3291662,3482529,-0.0548070095037256
2015,Police Airport Bureau Non-Personnel Cost,Airport Commission,3482529,3209054,0.0852198186755349
2014,Police Airport Bureau Non-Personnel Cost,Airport Commission,3209054,3558645,-0.0982371099112162
2013,Police Airport Bureau Non-Personnel Cost,Airport Commission,3558645,2476777,0.436804766840131
2012,Police Airport Bureau Non-Personnel Cost,Airport Commission,2476777,4328305,-0.427772072439442
2011,Police Airport Bureau Non-Personnel Cost,Airport Commission,4328305,4103271,0.0548425877793594
2010,Police Airport Bureau Non-Personnel Cost,Airport Commission,4103271,NA,NA
2017,Art Commission-Administration,Arts Commission,1345316,1446361,-0.0698615352598694
2016,Art Commission-Administration,Arts Commission,1446361,2307112,-0.373085918672349
2015,Art Commission-Administration,Arts Commission,2307112,1908834,0.208649887837287
2014,Art Commission-Administration,Arts Commission,1908834,2937051,-0.35008482998763
2013,Art Commission-Administration,Arts Commission,2937051,2569465,0.143059352822475
2012,Art Commission-Administration,Arts Commission,2569465,2462775,0.0433210504410675
2011,Art Commission-Administration,Arts Commission,2462775,2314101,0.06424697971264
2010,Art Commission-Administration,Arts Commission,2314101,NA,NA
2017,Civic Collection,Arts Commission,1006163,1179336,-0.146839407938026
2016,Civic Collection,Arts Commission,1179336,884152,0.333861146047286
2015,Civic Collection,Arts Commission,884152,551741,0.602476524311226
2014,Civic Collection,Arts Commission,551741,245796,1.24471106120523
2013,Civic Collection,Arts Commission,245796,74985,2.27793558711742
2012,Civic Collection,Arts Commission,74985,52750,0.421516587677725
2011,Civic Collection,Arts Commission,52750,16080,2.28047263681592
2010,Civic Collection,Arts Commission,16080,NA,NA
2017,Civic Design,Arts Commission,277574,272078,0.0202000896801652
2016,Civic Design,Arts Commission,272078,389190,-0.300912150877463
2015,Civic Design,Arts Commission,389190,372820,0.0439085885950325
2014,Civic Design,Arts Commission,372820,292509,0.274559073396032
2013,Civic Design,Arts Commission,292509,NA,NA
2013,Community Arts & Education,Arts Commission,204,4994167,-0.999959152347128
2012,Community Arts & Education,Arts Commission,4994167,4459812,0.119815588639162
2011,Community Arts & Education,Arts Commission,4459812,4957905,-0.100464409866667
2010,Community Arts & Education,Arts Commission,4957905,NA,NA
2017,Community Arts & Education-General Admin,Arts Commission,1780295,670567,1.65490994934138
2016,Community Arts & Education-General Admin,Arts Commission,670567,5192585,-0.870860659960309
2015,Community Arts & Education-General Admin,Arts Commission,5192585,6596227,-0.212794677927245
2014,Community Arts & Education-General Admin,Arts Commission,6596227,4407783,0.496495403698413
2013,Community Arts & Education-General Admin,Arts Commission,4407783,NA,NA
2017,Community Investments,Arts Commission,10863391,11295712,-0.0382730190004844
2016,Community Investments,Arts Commission,11295712,NA,NA
2015,Cultural Equity,Arts Commission,5060528,4775045,0.0597864522742718
2014,Cultural Equity,Arts Commission,4775045,4049867,0.17906217660975
2013,Cultural Equity,Arts Commission,4049867,3717147,0.0895095082330615
2012,Cultural Equity,Arts Commission,3717147,3805774,-0.0232875099782593
2011,Cultural Equity,Arts Commission,3805774,3814897,-0.00239141449952646
2010,Cultural Equity,Arts Commission,3814897,NA,NA
2017,Educational Programs,Arts Commission,266034,266034,0
2016,Educational Programs,Arts Commission,266034,506082,-0.47432629494825
2015,Educational Programs,Arts Commission,506082,330634,0.530641131886013
2014,Educational Programs,Arts Commission,330634,292272,0.131254447911534
2013,Educational Programs,Arts Commission,292272,NA,NA
2017,Gallery,Arts Commission,796556,836155,-0.0473584443075746
2016,Gallery,Arts Commission,836155,802885,0.0414380639817658
2015,Gallery,Arts Commission,802885,780707,0.0284075844074666
2014,Gallery,Arts Commission,780707,616099,0.267177839925077
2013,Gallery,Arts Commission,616099,50000,11.32198
2012,Gallery,Arts Commission,50000,80000,-0.375
2011,Gallery,Arts Commission,80000,50000,0.6
2010,Gallery,Arts Commission,50000,NA,NA
2017,General Fund,Arts Commission,9721933,9238343,0.0523459672367653
2016,General Fund,Arts Commission,9238343,7859474,0.175440366619954
2015,General Fund,Arts Commission,7859474,8041347,-0.0226172306704337
2014,General Fund,Arts Commission,8041347,5119741,0.570655038995137
2013,General Fund,Arts Commission,5119741,4654687,0.0999109070062069
2012,General Fund,Arts Commission,4654687,4260130,0.0926161877689178
2011,General Fund,Arts Commission,4260130,4141050,0.0287559918378189
2010,General Fund,Arts Commission,4141050,NA,NA
2013,Grants For The Arts,Arts Commission,60000,NA,NA
2017,Municipal Symphony Concerts,Arts Commission,2490000,2370000,0.0506329113924051
2016,Municipal Symphony Concerts,Arts Commission,2370000,2260000,0.0486725663716814
2015,Municipal Symphony Concerts,Arts Commission,2260000,2139061,0.0565383595886232
2014,Municipal Symphony Concerts,Arts Commission,2139061,2031816,0.0527828307287668
2013,Municipal Symphony Concerts,Arts Commission,2031816,1985087,0.0235400262054006
2012,Municipal Symphony Concerts,Arts Commission,1985087,1981515,0.00180266109517213
2011,Municipal Symphony Concerts,Arts Commission,1981515,1899510,0.0431716600596996
2010,Municipal Symphony Concerts,Arts Commission,1899510,NA,NA
2017,Public Art,Arts Commission,519172,509172,0.0196397288146245
2016,Public Art,Arts Commission,509172,259172,0.964610374577501
2015,Public Art,Arts Commission,259172,259172,0
2014,Public Art,Arts Commission,259172,140716,0.841809033798573
2013,Public Art,Arts Commission,140716,227172,-0.38057507087141
2012,Public Art,Arts Commission,227172,278676,-0.184816776471601
2011,Public Art,Arts Commission,278676,227165,0.226755882288205
2010,Public Art,Arts Commission,227165,NA,NA
2017,Street Artists,Arts Commission,810770,1135096,-0.285725612635407
2016,Street Artists,Arts Commission,1135096,786002,0.444138818985193
2015,Street Artists,Arts Commission,786002,740698,0.0611639291587125
2014,Street Artists,Arts Commission,740698,624066,0.186890489146981
2013,Street Artists,Arts Commission,624066,524626,0.189544551737809
2012,Street Artists,Arts Commission,524626,524626,0
2011,Street Artists,Arts Commission,524626,480956,0.0907983266660568
2010,Street Artists,Arts Commission,480956,NA,NA
2017,Asian Arts Museum,Asian Art Museum,11007919,10976132,0.00289601109024563
2016,Asian Arts Museum,Asian Art Museum,10976132,10144346,0.0819950344753619
2015,Asian Arts Museum,Asian Art Museum,10144346,9243304,0.0974805112976918
2014,Asian Arts Museum,Asian Art Museum,9243304,11024153,-0.161540664393899
2013,Asian Arts Museum,Asian Art Museum,11024153,10444179,0.0555308368422257
2012,Asian Arts Museum,Asian Art Museum,10444179,11139998,-0.0624613218063414
2011,Asian Arts Museum,Asian Art Museum,11139998,10545876,0.0563369036389201
2010,Asian Arts Museum,Asian Art Museum,10545876,NA,NA
2017,General Fund,Asian Art Museum,9617919,9603134,0.00153960155091036
2016,General Fund,Asian Art Museum,9603134,8768412,0.095196484836707
2015,General Fund,Asian Art Museum,8768412,8245574,0.0634083206335908
2014,General Fund,Asian Art Museum,8245574,5602297,0.471820219456412
2013,General Fund,Asian Art Museum,5602297,4986179,0.123565158811988
2012,General Fund,Asian Art Museum,4986179,4874030,0.02300950137771
2011,General Fund,Asian Art Museum,4874030,4341126,0.122757091132577
2010,General Fund,Asian Art Museum,4341126,NA,NA
2017,General Fund,Assessor/Recorder,19028332,18545395,0.0260408041996409
2016,General Fund,Assessor/Recorder,18545395,17889761,0.0366485611518231
2015,General Fund,Assessor/Recorder,17889761,15906981,0.124648416943479
2014,General Fund,Assessor/Recorder,15906981,15723973,0.0116387887463302
2013,General Fund,Assessor/Recorder,15723973,17636307,-0.108431657489292
2012,General Fund,Assessor/Recorder,17636307,14994324,0.176198873653791
2011,General Fund,Assessor/Recorder,14994324,13119883,0.14287025273015
2010,General Fund,Assessor/Recorder,13119883,NA,NA
2017,Personal Property,Assessor/Recorder,2836468,2762369,0.0268244394575815
2016,Personal Property,Assessor/Recorder,2762369,2958157,-0.0661858042017378
2015,Personal Property,Assessor/Recorder,2958157,3124644,-0.053281909875173
2014,Personal Property,Assessor/Recorder,3124644,2996239,0.0428553930444133
2013,Personal Property,Assessor/Recorder,2996239,2867656,0.0448390601941098
2012,Personal Property,Assessor/Recorder,2867656,2611072,0.098267684690426
2011,Personal Property,Assessor/Recorder,2611072,2602635,0.00324171464688671
2010,Personal Property,Assessor/Recorder,2602635,NA,NA
2017,Real Property,Assessor/Recorder,10231930,9958826,0.0274233127479082
2016,Real Property,Assessor/Recorder,9958826,5850784,0.70213530357641
2015,Real Property,Assessor/Recorder,5850784,8097010,-0.27741425538563
2014,Real Property,Assessor/Recorder,8097010,7257028,0.115747383088504
2013,Real Property,Assessor/Recorder,7257028,7324618,-0.00922778498482788
2012,Real Property,Assessor/Recorder,7324618,5941790,0.232729194401014
2011,Real Property,Assessor/Recorder,5941790,5771954,0.0294243509217156
2010,Real Property,Assessor/Recorder,5771954,NA,NA
2017,Recorder,Assessor/Recorder,5026172,5149918,-0.0240287321079675
2016,Recorder,Assessor/Recorder,5149918,6604814,-0.220278118354279
2015,Recorder,Assessor/Recorder,6604814,7905198,-0.164497334538616
2014,Recorder,Assessor/Recorder,7905198,8829222,-0.104655200650748
2013,Recorder,Assessor/Recorder,8829222,4635000,0.904902265372168
2012,Recorder,Assessor/Recorder,4635000,4211743,0.100494498358518
2011,Recorder,Assessor/Recorder,4211743,3803463,0.107344280725223
2010,Recorder,Assessor/Recorder,3803463,NA,NA
2017,Technical Services,Assessor/Recorder,8178721,8037155,0.0176139442377309
2016,Technical Services,Assessor/Recorder,8037155,10477703,-0.232927770523749
2015,Technical Services,Assessor/Recorder,10477703,6646969,0.576312902918608
2014,Technical Services,Assessor/Recorder,6646969,6469062,0.0275012049660368
2013,Technical Services,Assessor/Recorder,6469062,7009303,-0.0770748532343373
2012,Technical Services,Assessor/Recorder,7009303,5101736,0.373905470608436
2011,Technical Services,Assessor/Recorder,5101736,5142697,-0.00796488690661729
2010,Technical Services,Assessor/Recorder,5142697,NA,NA
2017,Transfer Tax,Assessor/Recorder,1261213,1137045,0.109202362263587
2016,Transfer Tax,Assessor/Recorder,1137045,1433117,-0.20659304160093
2015,Transfer Tax,Assessor/Recorder,1433117,1208358,0.186003651235809
2014,Transfer Tax,Assessor/Recorder,1208358,1051644,0.149018108789666
2013,Transfer Tax,Assessor/Recorder,1051644,1939730,-0.457840008660999
2012,Transfer Tax,Assessor/Recorder,1939730,2807983,-0.309208780822391
2011,Transfer Tax,Assessor/Recorder,2807983,953142,1.94602797904195
2010,Transfer Tax,Assessor/Recorder,953142,NA,NA
2017,Appeals Processing,Board of Appeals,1894294,1857208,0.0199686841753858
2016,Appeals Processing,Board of Appeals,1857208,1928760,-0.0370974097347519
2015,Appeals Processing,Board of Appeals,1928760,1884170,0.0236655928074431
2014,Appeals Processing,Board of Appeals,1884170,1864886,0.0103405784589514
2013,Appeals Processing,Board of Appeals,1864886,1850578,0.00773163843944973
2012,Appeals Processing,Board of Appeals,1850578,1863262,-0.00680741624097953
2011,Appeals Processing,Board of Appeals,1863262,1668824,0.116511986884177
2010,Appeals Processing,Board of Appeals,1668824,NA,NA
2017,Board - Legislative Analysis,Board of Supervisors,2126950,2110213,0.00793142682752879
2016,Board - Legislative Analysis,Board of Supervisors,2110213,2045000,0.0318889975550122
2015,Board - Legislative Analysis,Board of Supervisors,2045000,2000000,0.0225
