Fiscal.Year,Program,Department,Amount,prev.year.amount,percent.change
2016,Academy Of Sciences,Academy of Sciences,3969959.85,4412867.91,-0.100367395769161
2015,Academy Of Sciences,Academy of Sciences,4412867.91,4432587.93,-0.0044488728281132
2014,Academy Of Sciences,Academy of Sciences,4432587.93,5182680.42,-0.144730608336448
2013,Academy Of Sciences,Academy of Sciences,5182680.42,5202810.76,-0.00386912784811721
2012,Academy Of Sciences,Academy of Sciences,5202810.76,5224382.11,-0.00412897631639745
2011,Academy Of Sciences,Academy of Sciences,5224382.11,5272734.55,-0.0091702776882632
2010,Academy Of Sciences,Academy of Sciences,5272734.55,6182119.45,-0.14709921206715
2009,Academy Of Sciences,Academy of Sciences,6182119.45,5421076.68,0.140385907620108
2008,Academy Of Sciences,Academy of Sciences,5421076.68,3610831.86,0.50133733449444
2007,Academy Of Sciences,Academy of Sciences,3610831.86,2975244,0.21362545727342
2006,Academy Of Sciences,Academy of Sciences,2975244,2940879.37,0.0116851545665404
2005,Academy Of Sciences,Academy of Sciences,2940879.37,1856191,0.58436247670633
2004,Academy Of Sciences,Academy of Sciences,1856191,1953725.99,-0.0499225533668618
2003,Academy Of Sciences,Academy of Sciences,1953725.99,2235996.05,-0.126239069161146
2002,Academy Of Sciences,Academy of Sciences,2235996.05,2120881.8,0.0542765985355714
2001,Academy Of Sciences,Academy of Sciences,2120881.8,2076606.09,0.0213211885553123
2000,Academy Of Sciences,Academy of Sciences,2076606.09,1735680.39,0.196421934570569
1999,Academy Of Sciences,Academy of Sciences,1735680.39,NA,NA
2016,Administration - Adult Probation,Adult Probation,3203324.85,4839677.35,-0.338111899133111
2015,Administration - Adult Probation,Adult Probation,4839677.35,4422886.82,0.0942349526366581
2014,Administration - Adult Probation,Adult Probation,4422886.82,3884798.58,0.138511232672454
2013,Administration - Adult Probation,Adult Probation,3884798.58,2505447.66,0.550540704570136
2012,Administration - Adult Probation,Adult Probation,2505447.66,1882022.41,0.33125283029972
2011,Administration - Adult Probation,Adult Probation,1882022.41,1873080.51,0.00477390050895351
2010,Administration - Adult Probation,Adult Probation,1873080.51,2128999,-0.120206017006114
2009,Administration - Adult Probation,Adult Probation,2128999,2128177.57,0.000385978130574963
2008,Administration - Adult Probation,Adult Probation,2128177.57,1799277.06,0.182795922491225
2007,Administration - Adult Probation,Adult Probation,1799277.06,1930115.07,-0.0677876734053996
2006,Administration - Adult Probation,Adult Probation,1930115.07,1958556.12,-0.014521437353554
2005,Administration - Adult Probation,Adult Probation,1958556.12,2113394.12,-0.0732650850755657
2004,Administration - Adult Probation,Adult Probation,2113394.12,2424795.09,-0.128423622797751
2003,Administration - Adult Probation,Adult Probation,2424795.09,2626203.53,-0.0766918624924702
2002,Administration - Adult Probation,Adult Probation,2626203.53,3319971.7,-0.208968097529265
2001,Administration - Adult Probation,Adult Probation,3319971.7,4996958.7,-0.335601532988456
2000,Administration - Adult Probation,Adult Probation,4996958.7,4800643.48,0.0408935220492566
1999,Administration - Adult Probation,Adult Probation,4800643.48,NA,NA
2016,Community Services,Adult Probation,7685261.74,13275836.49,-0.421109039284349
2015,Community Services,Adult Probation,13275836.49,10291804.7,0.289942519993602
2014,Community Services,Adult Probation,10291804.7,10941293.17,-0.0593612162574016
